Bee species	Flower genus	Flower species	Flower family	Females	Males
Amphylaeus (Agogenohylaeus) nubilosellus					
	Callistemon		Myrtaceae	1	
	Guioa	semiglauca	Sapindaceae		1
	Leptospermum	polygalifolium	Myrtaceae		1
	Melaleuca		Myrtaceae		1
	Pultenaea	villosa	Fabaceae		3
	Telopea	speciosissima	Proteaceae	1	1
	Trimenia	moorei	Trimeniaceae	1	
Amphylaeus (Agogenohylaeus) obscuriceps					
	Angophora	floribunda	Myrtaceae	1	
	Banksia	ericifolia	Proteaceae		1
	Banksia	integrifolia	Cunoniaceae	1	
	Banksia	oblongifolia	Proteaceae		1
	Banksia	serrata	Proteaceae		1
	Banksia	spinulosa	Proteaceae	1	
	Callistemon		Myrtaceae	1	
	Erythrina		Fabaceae	1	
	Lambertia	formosa	Proteaceae		3
	Telopea	speciosissima	Proteaceae		1
	Xanthorrhoea	media	Xanthorrhoeaceae	1	
Amphylaeus (Amphylaeus) morosus					
	Lambertia	formosa	Proteaceae		1
	Pultenaea	flexilis	Fabaceae	1	
	Xanthorrhoea	media	Xanthorrhoeaceae	3	1
Brachyhesma (Brachyhesma) houstoni					
	Melaleuca		Myrtaceae	16	12
Brachyhesma (Brachyhesma) perlutea					
	Melaleuca		Myrtaceae	12	24
Brachyhesma (Brachyhesma) sulphurella					
	Eucalyptus	viridis	Myrtaceae	3	10
	Melaleuca		Myrtaceae	2	
Brachyhesma (Microhesma) bitrichopedalis					
	Angophora	floribunda	Myrtaceae	1	1
	Eremophila	goodwinii	Scrophulariaceae	1	
	Eucalyptus		Myrtaceae	2	
Brachyhesma (Microhesma) cooki					
	Eucalyptus		Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	1	2
Brachyhesma (Microhesma) minya					
	Melaleuca		Myrtaceae	1	
Brachyhesma (Microhesma) trichopterota					
	Eucalyptus		Myrtaceae	1	1
	Leptospermum	polygalifolium	Myrtaceae		1
Callohesma aurantifera					
	Eucalyptus	burgessiana	Myrtaceae	1	
	Eucalyptus	punctata	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	4	1
Callohesma calliopsella					
	Corymbia	tesselaris	Myrtaceae	3	
	Eucalyptus		Myrtaceae		1
	Eucalyptus	bridgesiana	Myrtaceae	4	
	Eucalyptus	burgessiana	Myrtaceae	2	
	Eucalyptus	punctata	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae	2	6
Callohesma calliopsiformis					
	Angophora	costata	Myrtaceae	1	
	Angophora	floribunda	Myrtaceae	3	1
	Eucalyptus	bridgesiana	Myrtaceae	1	
	Eucalyptus	burgessiana	Myrtaceae	1	5
	Eucalyptus		Myrtaceae	5	4
	Leptospermum	polygalifolium	Myrtaceae	2	2
Callohesma euxantha					
	Angophora	floribunda	Myrtaceae	3	2
Callohesma flavopicta					
	Angophora	floribunda	Myrtaceae	1	
	Angophora	hispida	Myrtaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Eucalyptus	burgessiana	Myrtaceae	2	
	Eucalyptus	socialis	Myrtaceae	1	2
	Leptospermum	polygalifolium	Myrtaceae		1
Callohesma occidentalis					
	Melaleuca		Myrtaceae	1	
Callohesma ornatula					
	Eucalyptus		Myrtaceae	1	
Callohesma pedalis					
