Bee species	Flower genus	Flower species	Flower family		
Afranthidium (Immanthidium) repetitum					
			Asteraceae		1
	Abelia		Caprifoliaceae		1
	Gazania		Asteraceae	2	
	Oreganum		Lamiaceae	1	
Austrothurgus rubricatus					
	Calytrix	exstipulata	Myrtaceae		1
	Gossypium	sturtii	Malvaceae	2	
	Hibiscus		Malvaceae		1
	Hibiscus	tiliaceus	Malvaceae	1	3
	Ipomoea	pes-caprae	Convolvulaceae	2	
Lithurgus atratiformis					
	Ipomoea	indica	Convolvulaceae		1
	Ipomoea	pes-caprae	Convolvulaceae	1	
Lithurgus atratus					
	Hibiscus		Malvaceae	1	1
	Ipomoea	pes-caprae	Convolvulaceae	2	2
Megachile (Amegachile) mystacea					
			Fabaceae	1	1
	Persoonia	tenuifolia	Proteaceae		1
Megachile (Austrochile) modesta					
	Dillwynia		Fabaceae	1	1
	Gompholobium		Fabaceae		1
	Kunzea	ambigua	Myrtaceae		1
	Phyllota	phylicoides	Fabaceae		2
	Pultenaea	canescens	Fabaceae	1	
	Pultenaea	flexilis	Fabaceae		1
	Pultenaea	tuberculata	Fabaceae	6	1
	Scaevola	ramosissima	Goodeniaceae	1	
Megachile (Austrochile) sp. JK55					
	Hemigenia		Lamiaceae		1
Megachile (Austrochile) sp. JK57					
	Calotis	cuneifolia	Asteraceae	1	
Megachile (Austrochile) sp. JK69					
	Pultenaea	ferruginea	Fabaceae	1	3
	Pultenaea	tuberculata	Fabaceae	3	2
Megachile (Austrochile) sp. JK76					
	Calytrix	exstipulata	Myrtaceae	1	1
Megachile (Austrochile) sp. JK80					
	Calytrix	tetragona	Myrtaceae	2	
Megachile (Austrochile) sp. JK83					
	Gompholobium		Fabaceae	1	
Megachile (Austrochile) sp. JK85					
	Calytrix	longiflora	Myrtaceae		2
	Crotalaria	smithiana	Fabaceae	1	
	Dampiera	adpressa	Goodeniaceae	1	
Megachile (Austrochile) msp. aust1					
	Eremophila	gilesii	Scrophulariaceae		1
	Leptospermum		Myrtaceae		1
	Pultenaea	tuberculata	Fabaceae		2
Megachile (Austrochile) msp. aust2					
	Pultenaea	tuberculata	Fabaceae	3	1
Megachile (Austrochile) msp. aust3					
	Phyllota	phylicoides	Fabaceae	1	1
Megachile (Austrochile) sp. unsorted					
	Abutilon	otocarpum	Malvaceae		1
	Calytrix	longiflora	Myrtaceae	1	1
	Cullen	patens	Fabaceae		2
	Eremophila	gilesii	Scrophulariaceae		6
	Eremophila	goodwinii	Scrophulariaceae	1	1
	Eremophila	polyclada	Scrophulariaceae	3	
	Eremophila	sturtii	Scrophulariaceae		6
	Lavatera	plebeia	Malvaceae		1
	Olearia	subspicata	Asteraceae		1
	Pterocaulon	sphacelatum	Asteraceae		1
	Pultenaea	ferruginea	Fabaceae		1
	Pultenaea	microphylla	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	2	1
	Scaevola	depauperata	Goodeniaceae		1
	Stemodia	florulenta	Plantaginaceae	2	
	Swainsona	burkitii	Fabaceae	2	3
	Swainsona	phacoides	Fabaceae		2
	Swainsona		Fabaceae	2	
Megachile (Callomegachile) mystaceana					
	Pultenaea	tuberculata	Fabaceae	2	
	Stachytarpheta		Verbenaceae	1	
	Tristaniopsis	conferta	Myrtaceae	2	
Megachile (Chalicodomoides) aethiops					
	Calytrix	exstipulata	Myrtaceae		3
Megachile (Eutricharaea) sp. JK9					
	Pultenaea		Fabaceae		2
Megachile (Eutricharaea) captionis					
	Taraxacum	officinale	Asteraceae	1	
	Dillwynia	floribunda	Fabaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	4
	Eremophila	polyclada	Scrophulariaceae	1	
	Jacksonia	sternbergiana	Fabaceae	1	
	Melaleuca		Myrtaceae		4
	Ptilotus	sessilifolius	Amaranthaceae	1	1
	Rhagodia	spinescens	Chenopodiaceae	1	
	Scaevola	depauperata	Goodeniaceae	1	1
	Scaevola		Goodeniaceae	1	
	Swainsona	burkitii	Fabaceae	2	
	Swainsona		Fabaceae		1
	Wahlenbergia		Campanulaceae	1	
	Xerochrysum	bracteatum	Asteraceae	1	
Megachile (Eutricharaea) darwiniana					
	Angophora	floribunda	Myrtaceae	1	
	Cullen	australasicum	Fabaceae	1	
	Dillwynia	floribunda	Fabaceae	2	
	Eucalyptus	piperita	Myrtaceae	2	
			Fabaceae	1	
	Parkinsonia	aculeata	Fabaceae	1	
	Swainsona	campylantha	Fabaceae	3	
	Wahlenbergia		Campanulaceae	1	
Megachile (Eutricharaea) gahani					
	Taraxacum	officinale	Asteraceae	1	
	Calytrix	exstipulata	Myrtaceae	8	
	Crotalaria	smithiana	Fabaceae	1	
	Goodenia		Goodeniaceae	1	
	Tribulus	terrestris	Zygophyllaceae	1	
Megachile (Eutricharaea) ignescens					
			Fabaceae	3	2
Megachile (Eutricharaea) lineatipes					
	Jacksonia	sternbergiana	Fabaceae		1
